"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"357073";"2003-580";"Australian Open";"Hard";"128";"Grand Slams";180;140;"Feliciano Lopez";"L";188;"ESP";21,3;86;"Robby Ginepri";"R";183;"USA";20,2;"6-2 6-4 6-2";5;"R64";78;9;5;77;45;36;17;13;2;3;4;5;80;58;33;9;13;6;12;62;633;101;402;6;6;6;NA;NA;2;4;2;NA;NA;2003-01-13;2003;"2003-580:180";11;0;2,04580368961313;1,34178851724821;86;"Robby Ginepri";140;"Feliciano Lopez";1,34178851724821;2,04580368961313;-0,70401517236492;20,2;21,3;-1,1;183;188;-5;0,666666666666667;0,5;0,5;0,666666666666667;-0,166666666666667;12;3;6;2;6;1;1;6;-5;0;0;1
"357121";"2003-580";"Australian Open";"Hard";"128";"Grand Slams";228;170;"David Nalbandian";"R";180;"ARG";21;70;"Roger Federer";"R";185;"SUI";21,4;"6-4 3-6 6-1 1-6 6-3";5;"R16";178;3;2;133;79;50;30;21;10;17;9;9;148;77;58;26;21;9;17;12;1740;6;2475;6;3;6;1;6;4;6;1;6;3;2003-01-13;2003;"2003-580:228";12;0;4,41503749927884;5,41503749927884;70;"Roger Federer";170;"David Nalbandian";5,41503749927884;4,41503749927884;1;21,4;21;0,399999999999999;185;180;5;0,588235294117647;0,529411764705882;0,529411764705882;0,588235294117647;-0,0588235294117647;17;17;9;10;8;7;7;8;-1;0;0;1
"366913";"2003-540";"Wimbledon";"Grass";"128";"Grand Slams";123;168;"Rafael Nadal";"L";185;"ESP";17;4;"Mario Ancic";"R";196;"CRO";19,2;"6-3 6-4 4-6 6-4";5;"R128";184;2;0;131;98;65;21;20;11;14;15;6;134;73;58;20;19;11;16;76;569;68;609;6;6;4;6;NA;3;4;6;4;NA;2003-06-23;2003;"2003-540:123";13;0;1,75207248655641;1,91253715874966;4;"Mario Ancic";168;"Rafael Nadal";1,91253715874966;1,75207248655641;0,160464672193246;19,2;17;2,2;196;185;11;0,785714285714286;0,6875;0,6875;0,785714285714286;-0,0982142857142857;16;14;11;11;5;3;3;5;-2;1;0;0
"366978";"2003-540";"Wimbledon";"Grass";"128";"Grand Slams";188;140;"Feliciano Lopez";"L";188;"ESP";21,7;235;"Mikhail Youzhny";"R";183;"RUS";20,9;"7-6(5) 6-3 6-2";5;"R64";105;24;3;106;62;49;20;15;6;7;3;8;97;63;37;15;14;7;11;52;723;25;1175;7;6;6;NA;NA;6;3;2;NA;NA;2003-06-23;2003;"2003-540:188";14;1;2,29956028185891;3,35614381022528;140;"Feliciano Lopez";235;"Mikhail Youzhny";2,29956028185891;3,35614381022528;-1,05658352836637;21,7;20,9;0,800000000000001;188;183;5;0,857142857142857;0,636363636363636;0,857142857142857;0,636363636363636;0,220779220779221;11;7;7;6;4;1;4;1;3;1;0;0
"367003";"2003-540";"Wimbledon";"Grass";"128";"Grand Slams";213;70;"Roger Federer";"R";185;"SUI";21,8;73;"Mardy Fish";"R";188;"USA";21,5;"6-3 6-1 4-6 6-1";5;"R32";120;13;4;110;59;43;31;17;5;6;9;6;102;56;38;19;16;6;12;5;2580;45;840;6;6;4;6;NA;3;1;6;1;NA;2003-06-23;2003;"2003-540:213";15;1;5,67807190511264;2,50814690367033;70;"Roger Federer";73;"Mardy Fish";5,67807190511264;2,50814690367033;3,16992500144231;21,8;21,5;0,300000000000001;185;188;-3;0,833333333333333;0,5;0,833333333333333;0,5;0,333333333333333;12;6;6;5;6;1;6;1;5;1;0;0
"367017";"2003-540";"Wimbledon";"Grass";"128";"Grand Slams";227;70;"Roger Federer";"R";185;"SUI";21,8;140;"Feliciano Lopez";"L";188;"ESP";21,7;"7-6(5) 6-4 6-4";5;"R16";126;9;2;104;69;48;17;16;3;6;13;3;127;80;51;24;16;13;18;5;2580;52;723;7;6;6;NA;NA;6;4;4;NA;NA;2003-06-23;2003;"2003-540:227";16;1;5,67807190511264;2,29956028185891;70;"Roger Federer";140;"Feliciano Lopez";5,67807190511264;2,29956028185891;3,37851162325373;21,8;21,7;0,100000000000001;185;188;-3;0,5;0,722222222222222;0,5;0,722222222222222;-0,222222222222222;18;6;13;3;5;3;5;3;2;1;0;0
"367027";"2003-540";"Wimbledon";"Grass";"128";"Grand Slams";237;70;"Roger Federer";"R";185;"SUI";21,8;192;"Andy Roddick";"R";188;"USA";20,8;"7-6(6) 6-3 6-3";5;"SF";103;17;0;84;51;42;25;15;2;2;4;0;99;57;42;21;15;5;8;5;2580;6;2390;7;6;6;NA;NA;6;3;3;NA;NA;2003-06-23;2003;"2003-540:237";17;1;5,67807190511264;5,41503749927884;70;"Roger Federer";192;"Andy Roddick";5,67807190511264;5,41503749927884;0,263034405833794;21,8;20,8;1;185;188;-3;1;0,625;1;0,625;0,375;8;2;5;2;3;0;3;0;3;1;0;0
"371913";"2003-560";"US Open";"Hard";"128";"Grand Slams";141;215;"Radek Stepanek";"R";185;"CZE";24,7;140;"Feliciano Lopez";"L";188;"ESP";21,9;"6-4 6-4 6-4";5;"R128";123;10;2;77;49;41;18;15;3;4;7;6;95;45;34;24;15;3;7;46;785;29;1075;6;6;6;NA;NA;4;4;4;NA;NA;2003-08-25;2003;"2003-560:141";18;0;2,47643804394299;3,14201900487243;140;"Feliciano Lopez";215;"Radek Stepanek";3,14201900487243;2,47643804394299;0,665580960929441;21,9;24,7;-2,8;188;185;3;0,75;0,428571428571429;0,428571428571429;0,75;-0,321428571428571;7;4;3;3;4;1;1;4;-3;0;0;1
"371941";"2003-560";"US Open";"Hard";"128";"Grand Slams";169;170;"David Nalbandian";"R";180;"ARG";21,6;123;"Philipp Kohlschreiber";"R";178;"GER";19,8;"6-4 7-6(4) 6-3";5;"R128";141;6;1;96;58;41;24;16;1;4;9;4;120;57;39;29;15;13;18;13;1700;271;124;6;7;6;NA;NA;4;6;3;NA;NA;2003-08-25;2003;"2003-560:169";19;0;4,29956028185891;-0,0821490413538708;123;"Philipp Kohlschreiber";170;"David Nalbandian";-0,0821490413538708;4,29956028185891;-4,38170932321278;19,8;21,6;-1,8;178;180;-2;0,25;0,722222222222222;0,722222222222222;0,25;0,472222222222222;18;4;13;1;5;3;3;5;-2;0;0;1
"371996";"2003-560";"US Open";"Hard";"128";"Grand Slams";224;70;"Roger Federer";"R";185;"SUI";22;24;"James Blake";"R";185;"USA";23,6;"6-3 7-6(4) 6-3";5;"R32";119;10;3;101;62;47;25;16;3;4;5;6;128;78;53;23;14;20;23;2;3825;35;995;6;7;6;NA;NA;3;6;3;NA;NA;2003-08-25;2003;"2003-560:224";20;0;7;2,87071698305503;24;"James Blake";70;"Roger Federer";2,87071698305503;7;-4,12928301694497;23,6;22;1,6;185;185;0;0,75;0,869565217391304;0,869565217391304;0,75;0,119565217391304;23;4;20;3;3;1;1;3;-2;0;0;1
"372004";"2003-560";"US Open";"Hard";"128";"Grand Slams";232;170;"David Nalbandian";"R";180;"ARG";21,6;70;"Roger Federer";"R";185;"SUI";22;"3-6 7-6(1) 6-4 6-3";5;"R16";172;3;4;112;67;45;28;19;5;9;16;4;143;78;52;28;21;10;16;13;1700;2;3825;3;7;6;6;NA;6;6;4;3;NA;2003-08-25;2003;"2003-560:232";21;0;4,29956028185891;7;70;"Roger Federer";170;"David Nalbandian";7;4,29956028185891;2,70043971814109;22;21,6;0,399999999999999;185;180;5;0,555555555555556;0,625;0,625;0,555555555555556;0,0694444444444444;16;9;10;5;6;4;4;6;-2;0;0;1
"378446";"2004-580";"Australian Open";"Hard";"128";"Grand Slams";162;151;"Florian Mayer";"R";190;"GER";20,2;82;"Richard Gasquet";"R";185;"FRA";17,5;"7-5 6-4 6-3";5;"R128";90;6;0;84;46;36;28;15;2;2;9;3;90;53;38;20;16;3;7;219;165;97;394;7;6;6;NA;NA;5;4;3;NA;NA;2004-01-19;2004;"2004-580:162";22;0;0,225212940398826;1,40008715781287;82;"Richard Gasquet";151;"Florian Mayer";1,40008715781287;0,225212940398826;1,17487421741405;17,5;20,2;-2,7;185;190;-5;1;0,428571428571429;0,428571428571429;1;-0,571428571428571;7;2;3;2;4;0;0;4;-4;0;0;1
"378507";"2004-580";"Australian Open";"Hard";"128";"Grand Slams";223;104;"Lleyton Hewitt";"R";180;"AUS";22,8;168;"Rafael Nadal";"L";185;"ESP";17,6;"7-6(2) 7-6(5) 6-2";5;"R32";149;9;2;109;58;42;31;16;4;6;1;2;98;69;45;15;16;6;10;11;1625;41;877;7;7;6;NA;NA;6;6;2;NA;NA;2004-01-19;2004;"2004-580:223";23;1;4,5405683813627;2,64244799538192;104;"Lleyton Hewitt";168;"Rafael Nadal";4,5405683813627;2,64244799538192;1,89812038598079;22,8;17,6;5,2;180;185;-5;0,666666666666667;0,6;0,666666666666667;0,6;0,0666666666666667;10;6;6;4;4;2;4;2;2;0;0;1
"378516";"2004-580";"Australian Open";"Hard";"128";"Grand Slams";232;70;"Roger Federer";"R";185;"SUI";22,4;104;"Lleyton Hewitt";"R";180;"AUS";22,8;"4-6 6-3 6-0 6-4";5;"R16";138;14;4;117;69;51;27;18;6;7;5;5;113;74;49;19;17;8;13;2;4375;11;1625;4;6;6;6;NA;6;3;0;4;NA;2004-01-19;2004;"2004-580:232";24;1;7;4,5405683813627;70;"Roger Federer";104;"Lleyton Hewitt";7;4,5405683813627;2,4594316186373;22,4;22,8;-0,400000000000002;185;180;5;0,857142857142857;0,615384615384615;0,857142857142857;0,615384615384615;0,241758241758242;13;7;8;6;5;1;5;1;4;0;0;1
"378520";"2004-580";"Australian Open";"Hard";"128";"Grand Slams";236;70;"Roger Federer";"R";185;"SUI";22,4;170;"David Nalbandian";"R";180;"ARG";22;"7-5 6-4 5-7 6-3";5;"QF";161;20;3;127;76;63;22;22;8;11;5;2;117;76;52;25;21;7;12;2;4375;8;2060;7;6;5;6;NA;5;4;7;3;NA;2004-01-19;2004;"2004-580:236";25;1;7;5;70;"Roger Federer";170;"David Nalbandian";7;5;2;22,4;22;0,399999999999999;185;180;5;0,727272727272727;0,583333333333333;0,727272727272727;0,583333333333333;0,143939393939394;12;11;7;8;5;3;5;3;2;0;0;1
"378522";"2004-580";"Australian Open";"Hard";"128";"Grand Slams";238;70;"Roger Federer";"R";185;"SUI";22,4;72;"Juan Carlos Ferrero";"R";183;"ESP";23,9;"6-4 6-1 6-4";5;"SF";89;11;1;83;60;50;10;14;4;4;6;0;71;41;27;16;13;2;6;2;4375;3;4145;6;6;6;NA;NA;4;1;4;NA;NA;2004-01-19;2004;"2004-580:238";26;1;7;6,41503749927884;70;"Roger Federer";72;"Juan Carlos Ferrero";7;6,41503749927884;0,584962500721156;22,4;23,9;-1,5;185;183;2;1;0,333333333333333;1;0,333333333333333;0,666666666666667;6;4;2;4;4;0;4;0;4;0;0;1
"378523";"2004-580";"Australian Open";"Hard";"128";"Grand Slams";239;70;"Roger Federer";"R";185;"SUI";22,4;199;"Marat Safin";"R";193;"RUS";23,9;"7-6(3) 6-4 6-2";5;"F";135;8;2;90;48;36;25;15;1;3;3;5;116;57;36;28;15;13;18;2;4375;86;430;7;6;6;NA;NA;6;4;2;NA;NA;2004-01-19;2004;"2004-580:239";27;1;7;1,5737352452979;70;"Roger Federer";199;"Marat Safin";7;1,5737352452979;5,4262647547021;22,4;23,9;-1,5;185;193;-8;0,333333333333333;0,722222222222222;0,333333333333333;0,722222222222222;-0,388888888888889;18;3;13;1;5;2;5;2;3;0;0;1
"385651";"2004-520";"Roland Garros";"Clay";"128";"Grand Slams";128;170;"David Nalbandian";"R";180;"ARG";22,3;82;"Richard Gasquet";"R";185;"FRA";17,9;"6-4 7-5 7-6(1)";5;"R128";151;7;1;102;51;34;31;17;2;6;7;11;121;51;38;24;17;6;12;8;2210;106;383;6;7;7;NA;NA;4;5;6;NA;NA;2004-05-24;2004;"2004-520:128";28;0;5;1,2720795454368;82;"Richard Gasquet";170;"David Nalbandian";1,2720795454368;5;-3,7279204545632;17,9;22,3;-4,4;185;180;5;0,333333333333333;0,5;0,5;0,333333333333333;0,166666666666667;12;6;6;2;6;4;4;6;-2;0;1;0
"388001";"2004-540";"Wimbledon";"Grass";"128";"Grand Slams";177;70;"Roger Federer";"R";185;"SUI";22,8;69;"Alejandro Falla";"L";185;"COL";20,6;"6-1 6-2 6-0";5;"R64";54;6;1;57;43;36;9;11;0;0;2;1;52;31;15;7;10;1;8;1;5610;138;303;6;6;6;NA;NA;1;2;0;NA;NA;2004-06-21;2004;"2004-540:177";29;0;8;0,891475543221831;69;"Alejandro Falla";70;"Roger Federer";0,891475543221831;8;-7,10852445677817;20,6;22,8;-2,2;185;185;0;1,5;0,125;0,125;1,5;-1,375;8;0;1;0;7;0;0;7;-7;1;0;0
"388034";"2004-540";"Wimbledon";"Grass";"128";"Grand Slams";210;116;"Ivo Karlovic";"R";208;"CRO";25,3;140;"Feliciano Lopez";"L";188;"ESP";22,7;"7-6(12) 7-6(3) 6-7(2) 7-5";5;"R32";169;40;6;140;91;82;36;24;3;3;14;4;146;88;73;42;24;0;1;62;626;22;1260;7;7;6;7;NA;6;6;7;5;NA;2004-06-21;2004;"2004-540:210";30;1;2,04580368961313;3,5405683813627;116;"Ivo Karlovic";140;"Feliciano Lopez";2,04580368961313;3,5405683813627;-1,49476469174958;25,3;22,7;2,6;208;188;20;1;0;1;0;1;1;3;0;3;1;0;1;0;1;1;0;0
