"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"762399";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";41;24;"Taro Daniel";"R";191;"JPN";25,1;98;"Cameron Norrie";"L";188;"GBR";22,5;"6-3 1-6 6-1";3;"R128";104;5;3;80;53;37;11;12;1;3;2;6;78;44;33;12;11;5;8;109;539;111;529;6;1;6;NA;NA;3;6;1;NA;NA;2018-03-05;2018;"2018-M006:41";11;1;1,23181567522307;1,20558413364989;24;"Taro Daniel";98;"Cameron Norrie";1,23181567522307;1,20558413364989;0,0262315415731802;25,1;22,5;2,6;191;188;3;0,333333333333333;0,625;0,333333333333333;0,625;-0,291666666666667;8;3;5;1;3;2;3;2;1;0;0;1
"762402";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";44;26;"Alex De Minaur";"R";183;"AUS";19;123;"Jan Lennard Struff";"R";193;"GER";27,8;"3-6 7-6(3) 7-6(5)";3;"R128";154;1;1;111;57;38;38;16;1;3;9;9;113;64;50;26;17;4;5;141;401;56;930;3;7;7;NA;NA;6;6;6;NA;NA;2018-03-05;2018;"2018-M006:44";12;1;0,860448647601206;2,1926450779424;26;"Alex De Minaur";123;"Jan Lennard Struff";0,860448647601206;2,1926450779424;-1,33219643034119;19;27,8;-8,8;183;193;-10;0,333333333333333;0,8;0,333333333333333;0,8;-0,466666666666667;5;3;4;1;1;2;1;2;-1;0;0;1
"762404";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";46;4;"Felix Auger Aliassime";"R";193;"CAN";17,5;105;"Vasek Pospisil";"R";193;"CAN";27,6;"6-2 7-6(4)";3;"R128";99;11;2;64;35;27;20;10;3;3;2;2;67;31;20;22;10;2;4;169;327;75;708;6;7;NA;NA;NA;2;6;NA;NA;NA;2018-03-05;2018;"2018-M006:46";13;1;0,599120563717816;1,77118130950412;4;"Felix Auger Aliassime";105;"Vasek Pospisil";0,599120563717816;1,77118130950412;-1,1720607457863;17,5;27,6;-10,1;193;193;0;1;0,5;1;0,5;0,5;4;3;2;3;2;0;2;0;2;0;0;1
"762408";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";50;134;"Mischa Zverev";"L";190;"GER";30,5;76;"Mikhail Kukushkin";"R";183;"KAZ";30,1;"6-3 4-6 6-1";3;"R128";129;5;2;78;43;36;19;13;3;5;2;2;91;52;31;17;13;5;10;53;952;89;638;6;4;6;NA;NA;3;6;1;NA;NA;2018-03-05;2018;"2018-M006:50";14;0;2,2720795454368;1,5242665690336;76;"Mikhail Kukushkin";134;"Mischa Zverev";1,5242665690336;2,2720795454368;-0,747812976403199;30,1;30,5;-0,399999999999999;183;190;-7;0,6;0,5;0,5;0,6;-0,1;10;5;5;3;5;2;2;5;-3;0;0;1
"762409";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";51;37;"Ernesto Escobedo";"R";185;"USA";21,6;126;"Frances Tiafoe";"R";188;"USA";20,1;"7-5 6-3";3;"R128";82;5;1;62;30;21;21;11;1;2;5;0;55;33;23;10;10;2;5;117;481;64;844;7;6;NA;NA;NA;5;3;NA;NA;NA;2018-03-05;2018;"2018-M006:51";15;1;1,1296352804166;2;37;"Ernesto Escobedo";126;"Frances Tiafoe";1,1296352804166;2;-0,870364719583405;21,6;20,1;1,5;185;188;-3;0,5;0,4;0,5;0,4;0,1;5;2;2;1;3;1;3;1;2;0;0;1
"762410";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";52;40;"Thomas Fabbiano";"R";173;"ITA";28,7;68;"Bradley Klahn";"L";190;"USA";27,5;"6-4 6-4";3;"R128";83;0;1;66;44;33;13;10;1;1;8;1;60;40;29;9;10;1;3;77;688;166;335;6;6;NA;NA;NA;4;4;NA;NA;NA;2018-03-05;2018;"2018-M006:52";16;1;1,7332134593051;0,624960568653075;40;"Thomas Fabbiano";68;"Bradley Klahn";1,7332134593051;0,624960568653075;1,10825289065202;28,7;27,5;1,2;173;190;-17;1;0,333333333333333;1;0,333333333333333;0,666666666666667;3;1;1;1;2;0;2;0;2;0;0;1
"762411";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";53;32;"Evgeny Donskoy";"R";185;"RUS";27,8;67;"Karen Khachanov";"R";198;"RUS";21,7;"6-3 1-6 7-6(4)";3;"R128";120;3;2;83;52;36;18;14;5;9;8;2;92;51;35;23;14;2;5;76;707;41;1235;6;1;7;NA;NA;3;6;6;NA;NA;2018-03-05;2018;"2018-M006:53";17;1;1,75207248655641;2,64244799538192;32;"Evgeny Donskoy";67;"Karen Khachanov";1,75207248655641;2,64244799538192;-0,890375508825501;27,8;21,7;6,1;185;198;-13;0,555555555555556;0,4;0,555555555555556;0,4;0,155555555555556;5;9;2;5;3;4;3;4;-1;0;0;1
"762413";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";55;86;"Daniil Medvedev";"R";198;"RUS";22;63;"Steve Johnson";"R";188;"USA";28,1;"7-6(0) 6-4";3;"R128";85;10;4;61;38;33;12;11;1;2;2;1;66;33;24;20;11;3;5;57;924;52;975;7;6;NA;NA;NA;6;4;NA;NA;NA;2018-03-05;2018;"2018-M006:55";18;0;2,16710998583526;2,29956028185891;63;"Steve Johnson";86;"Daniil Medvedev";2,29956028185891;2,16710998583526;0,13245029602365;28,1;22;6,1;188;198;-10;0,5;0,6;0,6;0,5;0,1;5;2;3;1;2;1;1;2;-1;0;0;1
"762417";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";59;44;"Taylor Fritz";"R";193;"USA";20,3;99;"Reilly Opelka";"R";211;"USA";20,5;"4-6 7-6(6) 6-4";3;"R128";140;5;3;119;74;52;30;16;8;9;19;10;100;55;46;27;16;5;6;74;714;199;276;4;7;6;NA;NA;6;6;4;NA;NA;2018-03-05;2018;"2018-M006:59";19;1;1,79054663437105;0,363375379456351;44;"Taylor Fritz";99;"Reilly Opelka";1,79054663437105;0,363375379456351;1,4271712549147;20,3;20,5;-0,199999999999999;193;211;-18;0,888888888888889;0,833333333333333;0,888888888888889;0,833333333333333;0,0555555555555555;6;9;5;8;1;1;1;1;0;0;0;1
"762418";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";60;129;"Fernando Verdasco";"L";188;"ESP";34,3;102;"Guido Pella";"L";185;"ARG";27,8;"6-2 1-6 6-2";3;"R128";89;3;1;61;46;32;8;11;1;3;9;1;69;50;31;11;12;1;5;39;1260;60;880;6;1;6;NA;NA;2;6;2;NA;NA;2018-03-05;2018;"2018-M006:60";20;0;2,71459778113775;2,09310940439148;102;"Guido Pella";129;"Fernando Verdasco";2,09310940439148;2,71459778113775;-0,62148837674627;27,8;34,3;-6,5;185;188;-3;0,333333333333333;0,2;0,2;0,333333333333333;-0,133333333333333;5;3;1;1;4;2;2;4;-2;0;0;1
