"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"817238";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";147;9;"Ricardas Berankis";"R";175;"LTU";29,5;13;"Roberto Carballes Baena";"R";183;"ESP";26,8;"6-4 6-2 6-2";5;"R128";118;4;2;81;44;33;21;13;3;5;2;2;78;43;27;11;13;4;11;69;804;83;664;6;6;6;NA;NA;4;2;2;NA;NA;2020-01-20;2020;"2020-580:147";11;1;1,89147554322183;1,62496056865308;9;"Ricardas Berankis";13;"Roberto Carballes Baena";1,89147554322183;1,62496056865308;0,266514974568755;29,5;26,8;2,7;175;183;-8;0,6;0,363636363636364;0,6;0,363636363636364;0,236363636363636;11;5;4;3;7;2;7;2;5;0;0;1
"817242";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";151;82;"Jordan Thompson";"R";183;"AUS";25,7;12;"Alexander Bublik";"R";196;"KAZ";22,5;"6-4 6-3 6-2";5;"R128";138;5;1;110;69;45;23;14;11;12;7;12;86;46;32;14;13;10;16;66;843;56;948;6;6;6;NA;NA;4;3;2;NA;NA;2020-01-20;2020;"2020-580:151";12;0;1,95560588064155;2,1926450779424;12;"Alexander Bublik";82;"Jordan Thompson";2,1926450779424;1,95560588064155;0,23703919730085;22,5;25,7;-3,2;196;183;13;0,916666666666667;0,625;0,625;0,916666666666667;-0,291666666666667;16;12;10;11;6;1;1;6;-5;0;0;1
"817243";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";152;29;"Fabio Fognini";"R";178;"ITA";32,6;66;"Reilly Opelka";"R";211;"USA";22,3;"3-6 6-7(3) 6-4 6-3 7-6(5)";5;"R128";218;11;6;146;87;66;43;26;4;5;35;4;168;118;88;27;26;3;6;12;2310;38;1227;3;6;6;6;7;6;7;4;3;6;2020-01-20;2020;"2020-580:152";13;1;4,41503749927884;2,75207248655641;29;"Fabio Fognini";66;"Reilly Opelka";4,41503749927884;2,75207248655641;1,66296501272243;32,6;22,3;10,3;178;211;-33;0,8;0,5;0,8;0,5;0,3;6;5;3;4;3;1;3;1;2;0;0;1
"817244";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";153;31;"Marton Fucsovics";"R";188;"HUN";27,9;77;"Denis Shapovalov";"L";185;"CAN";20,7;"6-3 6-7(7) 6-1 7-6(3)";5;"R128";193;3;5;126;80;65;25;20;6;7;7;8;142;86;65;22;20;5;11;67;827;13;2200;6;6;6;7;NA;3;7;1;6;NA;2020-01-20;2020;"2020-580:153";14;1;1,93391080954223;4,29956028185891;31;"Marton Fucsovics";77;"Denis Shapovalov";1,93391080954223;4,29956028185891;-2,36564947231668;27,9;20,7;7,2;188;185;3;0,857142857142857;0,454545454545455;0,857142857142857;0,454545454545455;0,402597402597403;11;7;5;6;6;1;6;1;5;0;0;1
"817249";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";158;56;"John Millman";"R";183;"AUS";30,6;39;"Ugo Humbert";"L";188;"FRA";21,5;"7-6(3) 6-3 1-6 7-5";5;"R128";204;5;2;142;94;62;25;20;8;12;6;11;125;74;54;25;20;6;10;47;1096;43;1130;7;6;1;7;NA;6;3;6;5;NA;2020-01-20;2020;"2020-580:158";15;0;2,44541114832236;2,5737352452979;39;"Ugo Humbert";56;"John Millman";2,5737352452979;2,44541114832236;0,12832409697554;21,5;30,6;-9,1;188;183;5;0,666666666666667;0,6;0,6;0,666666666666667;-0,0666666666666667;10;12;6;8;4;4;4;4;0;0;0;1
"817251";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";160;28;"Roger Federer";"R";185;"SUI";38,4;42;"Steve Johnson";"R";188;"USA";30;"6-3 6-2 6-2";5;"R128";81;11;1;66;49;40;13;13;1;1;3;2;73;46;26;13;12;4;9;3;6590;75;720;6;6;6;NA;NA;3;2;2;NA;NA;2020-01-20;2020;"2020-580:160";16;1;6,41503749927884;1,77118130950412;28;"Roger Federer";42;"Steve Johnson";6,41503749927884;1,77118130950412;4,64385618977472;38,4;30;8,4;185;188;-3;1;0,444444444444444;1;0,444444444444444;0,555555555555556;9;1;4;1;5;0;5;0;5;0;0;1
"817257";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";166;16;"Marin Cilic";"R";198;"CRO";31,3;59;"Corentin Moutet";"L";178;"FRA";20,7;"6-3 6-2 6-4";5;"R128";106;9;1;68;42;35;20;14;3;4;4;6;74;48;30;12;13;4;9;39;1205;70;800;6;6;6;NA;NA;3;2;4;NA;NA;2020-01-20;2020;"2020-580:166";17;1;2,71459778113775;1,87071698305503;16;"Marin Cilic";59;"Corentin Moutet";2,71459778113775;1,87071698305503;0,843880798082718;31,3;20,7;10,6;198;178;20;0,75;0,444444444444444;0,75;0,444444444444444;0,305555555555556;9;4;4;3;5;1;5;1;4;0;0;1
"817260";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";169;76;"Diego Schwartzman";"R";170;"ARG";27,4;38;"Lloyd Harris";"R";193;"RSA";22,9;"6-4 6-2 6-2";5;"R128";105;4;2;76;46;33;20;13;2;3;8;2;79;49;31;12;13;6;12;14;2130;72;746;6;6;6;NA;NA;4;2;2;NA;NA;2020-01-20;2020;"2020-580:169";18;0;4,1926450779424;1,83007499855769;38;"Lloyd Harris";76;"Diego Schwartzman";1,83007499855769;4,1926450779424;-2,36257007938471;22,9;27,4;-4,5;193;170;23;0,666666666666667;0,5;0,5;0,666666666666667;-0,166666666666667;12;3;6;2;6;1;1;6;-5;0;0;1
"817261";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";170;20;"Alejandro Davidovich Fokina";"R";183;"ESP";20,6;37;"Norbert Gombos";"R";193;"SVK";29,4;"4-6 6-4 2-6 6-3 6-2";5;"R128";184;3;2;150;102;63;29;23;11;16;7;5;144;90;63;25;22;12;18;88;627;113;498;4;6;2;6;6;6;4;6;3;2;2020-01-20;2020;"2020-580:170";19;1;1,5405683813627;1,17982103758481;20;"Alejandro Davidovich Fokina";37;"Norbert Gombos";1,5405683813627;1,17982103758481;0,36074734377789;20,6;29,4;-8,8;183;193;-10;0,6875;0,666666666666667;0,6875;0,666666666666667;0,0208333333333334;18;16;12;11;6;5;6;5;1;0;0;1
"817264";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";173;27;"Daniel Evans";"R";175;"GBR";29,6;54;"Mackenzie Mcdonald";"R";178;"USA";24,7;"3-6 4-6 6-1 6-2 6-3";5;"R128";201;2;3;128;68;44;37;22;6;11;6;6;157;109;61;21;21;7;16;32;1349;129;419;3;4;6;6;6;6;6;1;2;3;2020-01-20;2020;"2020-580:173";20;1;3;0,988772744576746;27;"Daniel Evans";54;"Mackenzie Mcdonald";3;0,988772744576746;2,01122725542325;29,6;24,7;4,9;175;178;-3;0,545454545454545;0,4375;0,545454545454545;0,4375;0,107954545454545;16;11;7;6;9;5;9;5;4;0;0;1
"817265";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";174;63;"Yoshihito Nishioka";"L";170;"JPN";24,3;24;"Laslo Djere";"R";188;"SRB";24,6;"6-4 3-6 6-2 7-6(1)";5;"R128";174;2;2;124;74;45;28;20;5;11;7;5;128;75;48;22;19;6;14;71;797;40;1185;6;3;6;7;NA;4;6;2;6;NA;2020-01-20;2020;"2020-580:174";21;0;1,85025288049532;2,67807190511264;24;"Laslo Djere";63;"Yoshihito Nishioka";2,67807190511264;1,85025288049532;0,82781902461732;24,6;24,3;0,300000000000001;188;170;18;0,454545454545455;0,428571428571429;0,428571428571429;0,454545454545455;-0,025974025974026;14;11;6;5;8;6;6;8;-2;0;0;1
"817267";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";176;25;"Novak Djokovic";"R";188;"SRB";32,6;80;"Jan Lennard Struff";"R";193;"GER";29,7;"7-6(5) 6-2 2-6 6-1";5;"R128";136;14;3;92;60;46;16;18;1;5;13;7;112;63;41;20;17;4;11;2;9720;37;1270;7;6;2;6;NA;6;2;6;1;NA;2020-01-20;2020;"2020-580:176";22;1;7;2,79054663437105;25;"Novak Djokovic";80;"Jan Lennard Struff";7;2,79054663437105;4,20945336562895;32,6;29,7;2,9;188;193;-5;0,2;0,363636363636364;0,2;0,363636363636364;-0,163636363636364;11;5;4;1;7;4;7;4;3;0;0;1
"817268";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";177;61;"Rafael Nadal";"L";185;"ESP";33,6;22;"Federico Delbonis";"L";190;"ARG";29,2;"6-3 7-6(4) 6-1";5;"R64";150;8;1;89;61;52;17;14;0;0;2;8;110;69;45;18;14;17;20;1;10235;76;711;6;7;6;NA;NA;3;6;1;NA;NA;2020-01-20;2020;"2020-580:177";23;0;8;1,75207248655641;22;"Federico Delbonis";61;"Rafael Nadal";1,75207248655641;8;-6,24792751344359;29,2;33,6;-4,4;190;185;5;1,5;0,85;0,85;1,5;-0,65;20;0;17;0;3;0;0;3;-3;0;0;1
"817271";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";180;45;"Karen Khachanov";"R";198;"RUS";23,6;88;"Mikael Ymer";"R";183;"SWE";21,3;"6-2 2-6 6-4 3-6 7-6(8)";5;"R64";274;7;6;163;104;64;22;24;14;24;4;1;189;123;71;28;23;14;24;17;1995;78;709;6;2;6;3;7;2;6;4;6;6;2020-01-20;2020;"2020-580:180";24;1;3,91253715874966;1,71459778113775;45;"Karen Khachanov";88;"Mikael Ymer";3,91253715874966;1,71459778113775;2,19793937761191;23,6;21,3;2,3;198;183;15;0,583333333333333;0,583333333333333;0,583333333333333;0,583333333333333;0;24;24;14;14;10;10;10;10;0;0;0;1
